EmployeeID,Age,Attrition,Department,DistanceFromHome,EducationField,Gender,JobRole,MaritalStatus,State,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,LevelofEducation,LevelofJob,JobSatisfaction,PerformanceRating
259,52,No,Research & Development,1,Life Sciences,Male,Manager,Married,Massachusetts,19999,0,No,14,34,33,18,11,Masters,Senior Management,High,Excellent
1035,41,No,Research & Development,7,Life Sciences,Female,Research Director,Divorced,Alaska,19973,1,No,22,21,21,16,5,College,Senior Management,High,Outstanding
1191,56,No,Research & Development,4,Technical Degree,Female,Manager,Divorced,West Virginia,19943,4,No,13,28,5,2,4,Masters,Senior Management,Low,Excellent
226,50,No,Research & Development,11,Life Sciences,Female,Manager,Single,Washington,19926,3,No,15,21,5,4,4,Bachelors,Senior Management,Medium,Excellent
787,55,Yes,Research & Development,2,Medical,Male,Manager,Married,New York,19859,5,Yes,13,24,5,2,1,Bachelors,Senior Management,Low,Excellent
1282,51,No,Sales,9,Life Sciences,Male,Manager,Divorced,California,19847,4,Yes,24,31,29,10,11,Bachelors,Senior Management,Medium,Outstanding
1038,52,Yes,Sales,2,Marketing,Female,Manager,Married,Wisconsin,19845,1,No,15,33,32,14,6,College,Senior Management,Very High,Excellent
1740,40,No,Sales,7,Medical,Male,Manager,Single,Massachusetts,19833,1,No,14,21,21,8,12,Masters,Senior Management,Medium,Excellent
1255,43,No,Research & Development,3,Life Sciences,Male,Research Director,Married,Texas,19740,3,No,14,25,8,7,0,Bachelors,Senior Management,Very High,Excellent
1338,56,No,Human Resources,8,Life Sciences,Male,Manager,Single,New York,19717,6,No,14,36,7,3,7,Masters,Senior Management,Medium,Excellent
1423,58,No,Research & Development,1,Medical,Female,Research Director,Married,Connecticut,19701,3,Yes,21,32,9,8,1,Bachelors,Senior Management,Low,Outstanding
1867,48,No,Research & Development,10,Life Sciences,Male,Research Director,Married,Oklahoma,19665,4,No,12,29,22,10,12,Bachelors,Senior Management,Medium,Excellent
1625,47,No,Human Resources,26,Life Sciences,Female,Manager,Married,Washington,19658,3,No,11,27,5,2,1,Masters,Senior Management,High,Excellent
1973,55,No,Human Resources,26,Human Resources,Male,Manager,Married,Virginia,19636,4,Yes,18,35,10,9,1,Masters,Senior Management,Medium,Excellent
1069,46,No,Research & Development,1,Medical,Male,Research Director,Divorced,Hawaii,19627,9,No,17,23,2,2,2,Masters,Senior Management,Very High,Excellent
1128,40,No,Research & Development,14,Medical,Male,Research Director,Single,Georgia,19626,1,No,14,21,20,7,4,Bachelors,Senior Management,High,Excellent
1595,42,No,Research & Development,9,Other,Male,Manager,Single,California,19613,8,No,22,24,1,0,0,College,Senior Management,Very High,Outstanding
1578,55,No,Sales,26,Marketing,Male,Manager,Married,Massachusetts,19586,1,No,21,36,36,6,2,Doctorate,Senior Management,Very High,Outstanding
549,60,No,Research & Development,7,Life Sciences,Female,Manager,Married,Texas,19566,5,No,11,33,29,8,11,Bachelors,Senior Management,Low,Excellent
58,41,Yes,Research & Development,12,Technical Degree,Female,Research Director,Married,California,19545,1,No,12,23,22,15,15,Bachelors,Senior Management,High,Excellent
162,51,No,Research & Development,6,Life Sciences,Male,Research Director,Single,California,19537,7,No,13,23,20,18,15,Bachelors,Senior Management,High,Excellent
323,50,No,Sales,1,Medical,Female,Manager,Divorced,Delaware,19517,3,No,11,32,7,0,0,Masters,Senior Management,Very High,Excellent
671,44,No,Research & Development,3,Other,Male,Manager,Married,Alaska,19513,4,Yes,12,26,2,2,0,Masters,Senior Management,Very High,Excellent
638,49,No,Research & Development,18,Life Sciences,Male,Research Director,Divorced,Massachusetts,19502,1,Yes,17,31,31,9,0,Masters,Senior Management,High,Excellent
352,40,No,Research & Development,2,Medical,Male,Research Director,Divorced,Washington,19436,0,No,19,22,21,7,3,College,Senior Management,High,Excellent
2022,39,No,Research & Development,9,Life Sciences,Male,Manager,Single,Pennsylvania,19431,2,No,13,21,6,0,1,Bachelors,Senior Management,Very High,Excellent
999,41,No,Research & Development,9,Medical,Male,Research Director,Divorced,Delaware,19419,2,No,17,21,18,16,0,Bachelors,Senior Management,High,Excellent
522,54,No,Research & Development,5,Medical,Male,Research Director,Married,New York,19406,4,No,11,24,4,2,1,College,Senior Management,Low,Excellent
1866,43,No,Research & Development,6,Medical,Female,Manager,Married,Iowa,19392,7,No,13,21,16,12,6,Bachelors,Senior Management,High,Excellent
